id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1147918213952360448,1147918213952360448,1562520004000,2019-07-07,10:20:04,Pacific Daylight Time,813286,barackobama,Barack Obama,,"Yes! Fourth star. Back to back. Congrats to the record breakers on the @USWNT, an incredible team that’s always pushing themselves—and the rest of us—to be even better. Love this team. #OneNationOneTeam",['uswnt'],[],[],5448,63267,470522,['#onenationoneteam'],[],https://twitter.com/BarackObama/status/1147918213952360448,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}, {'user_id': '133448051', 'username': 'USWNT'}]",
1146180070467391489,1146180070467391489,1562105598000,2019-07-02,15:13:18,Pacific Daylight Time,813286,barackobama,Barack Obama,,Congrats to the USWNT! A great performance from a great team—looking forward to Sunday. #OneNationOneTeam,[],[],[],2689,16625,186040,['#onenationoneteam'],[],https://twitter.com/BarackObama/status/1146180070467391489,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1137003102576488450,1137003102576488450,1559917638000,2019-06-07,07:27:18,Pacific Daylight Time,813286,barackobama,Barack Obama,,"Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shattered by senseless gun violence. We can't get numb to this. On National Gun Violence Awareness Day, pledge to speak out, #WearOrange — and vote — to protect lives.",[],[],[],8464,32683,175657,['#wearorange'],[],https://twitter.com/BarackObama/status/1137003102576488450,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1123324075387052032,1123324075387052032,1556656304000,2019-04-30,13:31:44,Pacific Daylight Time,813286,barackobama,Barack Obama,,"Condolences to the family of John Singleton. His seminal work, Boyz n the Hood, remains one of the most searing, loving portrayals of the challenges facing inner-city youth. He opened doors for filmmakers of color to tell powerful stories that have been too often ignored.",[],[],[],3096,25979,213114,[],[],https://twitter.com/BarackObama/status/1123324075387052032,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1120412132036706305,1120411621304750088,1555962043000,2019-04-22,12:40:43,Pacific Daylight Time,813286,barackobama,Barack Obama,,"This generation of climate activists is tired of inaction, and they've caught the attention of leaders all over the world. So while this challenge is only getting more urgent, they show us the kind of action it'll take to meet this moment.",[],[],[],1654,6743,53846,[],[],https://twitter.com/BarackObama/status/1120412132036706305,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1120411621304750088,1120411621304750088,1555961921000,2019-04-22,12:38:41,Pacific Daylight Time,813286,barackobama,Barack Obama,,"Young people all over the world are leading the way in the fight to protect our planet because they know their future depends on it. This Earth Day, I want to celebrate the courageous, committed young leaders who are stepping up to save the one planet we've got.",[],[],[],6087,50417,298827,[],[],https://twitter.com/BarackObama/status/1120411621304750088,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1119964696810070017,1119964696810070017,1555855366000,2019-04-21,07:02:46,Pacific Daylight Time,813286,barackobama,Barack Obama,,"The attacks on tourists and Easter worshippers in Sri Lanka are an attack on humanity. On a day devoted to love, redemption, and renewal, we pray for the victims and stand with the people of Sri Lanka.",[],[],[],31545,93480,529742,[],[],https://twitter.com/BarackObama/status/1119964696810070017,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1117498965417656321,1117498965417656321,1555267490000,2019-04-14,11:44:50,Pacific Daylight Time,813286,barackobama,Barack Obama,,"Congratulations, Tiger! To come back and win the Masters after all the highs and lows is a testament to excellence, grit, and determination.",[],[],[],6478,55165,483414,[],[],https://twitter.com/BarackObama/status/1117498965417656321,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1116130925396602880,1116130925396602880,1554941323000,2019-04-10,17:08:43,Pacific Daylight Time,813286,barackobama,Barack Obama,,"From a big NBA fan, congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts, too.",[],[],[],2958,21703,188005,[],[],https://twitter.com/BarackObama/status/1116130925396602880,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
1113518349483421696,1113518349483421696,1554318437000,2019-04-03,12:07:17,Pacific Daylight Time,813286,barackobama,Barack Obama,,"Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor, Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership, Chicago’s best days are still ahead.",[],[],[],2539,8858,98164,[],[],https://twitter.com/BarackObama/status/1113518349483421696,False,,0,,,,,,,"[{'user_id': '813286', 'username': 'BarackObama'}]",
