id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1166516605787860992,1166516604256972800,1566954206000,2019-08-27,18:03:26,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Debido al fracaso del gobierno federal, 33, 000 techos todavía siguen con toldos azules después del huracán María, que fue hace casi 2 años. El gobierno federal debe proveer todos los recursos, por el tiempo que sea necesario, para preparar a nuestros conciudadanos para lo peor.",[],[],[],68,193,896,[],[],https://twitter.com/SenSanders/status/1166516605787860992,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1166480276777816064,1166480272520597505,1566945544000,2019-08-27,15:39:04,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Under the so-called ""War on Drugs,"" men on street corners dealing pot were thrown in jail. I want to see a war on the corporate greed that is killing Americans. I want to see top executives held personally liable for actions that led to the deaths of more than 42,000 people.",[],[],[],130,891,4142,[],[],https://twitter.com/SenSanders/status/1166480276777816064,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1166480275410423808,1166480272520597505,1566945544000,2019-08-27,15:39:04,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Under my legislation, the Opioid Crisis Accountability Act, Johnson & Johnson would be fined $7.8 billion—13 times as much as this penalty, about half of the company's profits, and 10 percent of the total annual cost of the terrible opioid crisis afflicting our country.",[],[],[],73,542,2961,[],[],https://twitter.com/SenSanders/status/1166480275410423808,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1165697296119599105,1165697296119599105,1566758867000,2019-08-25,11:47:47,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Over 40 years, income per person doubled. But half our people live paycheck to paycheck. Why?  Because the top 1% captured 45% of new income. And the median hourly wage grew by $2 over 40 years.  This is a rigged economy. And the working class needs to come together to fix it.",[],[],[],1218,5312,24594,[],[],https://twitter.com/SenSanders/status/1165697296119599105,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1163150983976968192,1163150983976968192,1566151779000,2019-08-18,11:09:39,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Some say we can't afford tuition-free public college.   Let me get this straight: 40 years ago, in an economy with half the income per person, some of the best public schools were essentially free.   But guaranteeing college for all is so ""radical"" that we can't afford it today?",[],[],[],2022,4634,24985,[],[],https://twitter.com/SenSanders/status/1163150983976968192,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1158488442021588992,1158488442021588992,1565040142000,2019-08-05,14:22:22,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"On the issue of guns, we are not so divided: Over 90% of the public supports universal background checks.    @SenateGOP and @realDonaldTrump: the country is demanding action right now. Will you side with the American people or will you just do what the @NRA wants?","['senategop', 'realdonaldtrump', 'nra']",[],[],431,1072,4760,[],[],https://twitter.com/SenSanders/status/1158488442021588992,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}, {'user_id': '14344823', 'username': 'SenateGOP'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '21829541', 'username': 'NRA'}]",
1157441326327238656,1157419865000554499,1564790491000,2019-08-02,17:01:31,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"El pueblo boricua se unió, se levantó, y le forzó a Rosselló a renunciar. Nos muestra lo que la gente común puede lograr cuando nos organizamos. Ahora tenemos que asegurar de que reciban una representación justa y receptiva. Puerto Rico se merece la democracia, no la austeridad.",[],[],[],106,334,2054,[],[],https://twitter.com/SenSanders/status/1157441326327238656,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1157073599657926656,1157073295268818946,1564702818000,2019-08-01,16:40:18,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,Esto es inaceptable. El gobierno de los Estados Unidos le ha fallado al pueblo de Puerto Rico por demasiado tiempo. Eso debe acabar ya. El presidente Trump debe asegurar que el gobierno federal esté haciendo todo lo que esté en su poder para reconstruir a Puerto Rico.,[],[],[],134,338,1850,[],[],https://twitter.com/SenSanders/status/1157073599657926656,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1156212374866710528,1156212374866710528,1564497486000,2019-07-30,07:38:06,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"It makes no sense for young people to be denied jobs because they were arrested for smoking marijuana. It is time to decriminalize marijuana, expunge past marijuana convictions and end the failed war on drugs.",[],[],[],989,7508,41666,[],[],https://twitter.com/SenSanders/status/1156212374866710528,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1154249270167580673,1154246786393038848,1564029445000,2019-07-24,21:37:25,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Esta persona debe ayudar a la isla a recuperarse luego de décadas de devastación económica y del huracán María, que arrasó la isla hace casi dos años. Sin demora, garantizaremos el apoyo total del gobierno federal en la reconstrucción y recuperación de Puerto Rico.",[],[],[],51,277,1827,[],[],https://twitter.com/SenSanders/status/1154249270167580673,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1154249269353824257,1154246786393038848,1564029445000,2019-07-24,21:37:25,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Felicito a los milliones de boricuas que se unieron a exigir que el gobernador Rosselló renunciara. Cuando nos unimos, no hay nada que no podemos lograr. La próxima persona que gobierne la isla debe escuchar a la gente y oponerse a la corrupción y la austeridad de Wall Street.",[],[],[],75,618,2979,[],[],https://twitter.com/SenSanders/status/1154249269353824257,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1154246788334985217,1154246786393038848,1564028853000,2019-07-24,21:27:33,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"His successor must stand against corruption and Wall Street-imposed austerity to help the island recover from decades of economic devastation and Hurricane Maria. Together, we will ensure the full support of the federal government in the rebuilding and recovery of Puerto Rico.",[],[],[],85,491,2901,[],[],https://twitter.com/SenSanders/status/1154246788334985217,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1153404732502880257,1153404732502880257,1563828092000,2019-07-22,13:41:32,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Does Donald Trump want a war with Iran? Who knows? Nobody in the world knows what they'll do tomorrow. And given the confusion in this administration, it’s possible they may.   But this I do know: The United States Congress must do everything it can to prevent this war.",[],[],[],748,1874,10005,[],[],https://twitter.com/SenSanders/status/1153404732502880257,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
1153386312570953728,1153386311128104961,1563823700000,2019-07-22,12:28:20,Pacific Daylight Time,29442313,sensanders,Bernie Sanders,,"Me uno al reclamo del pueblo boricua, que ha salido a la calle en un #ParoNacional, para exigir la renuncia inmediata del gobernador Ricardo Rosselló. Debemos garantizar el apoyo del gobierno federal en los esfuerzos de reconstrucción y recuperación de Puerto Rico.",[],[],[],86,514,2719,['#paronacional'],[],https://twitter.com/SenSanders/status/1153386312570953728,False,,0,,,,,,,"[{'user_id': '29442313', 'username': 'SenSanders'}]",
