id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1168225812404785152,1168225812404785152,1567361712000,2019-09-01,11:15:12,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"We should all be mourning together over the act of evil in Texas. As per Twitter’s usual arrangement, instead we will attack those with whom we disagree as insufficiently caring. Well done, as always, everyone.",[],[],[],1262,3408,24686,[],[],https://twitter.com/benshapiro/status/1168225812404785152,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1167469386707292161,1167468712674222080,1567181366000,2019-08-30,09:09:26,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,But congrats to SLA! That’s a pretty amazing accomplishment. Also condolences on being married to you.,[],[],[],51,44,2122,[],[],https://twitter.com/benshapiro/status/1167469386707292161,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1167452580391182337,1167452580391182337,1567177360000,2019-08-30,08:02:40,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"Dave Chapelle’s new special is a must-watch. It is riveting and hilarious. Now that I’ve said this, however, Chapelle is cancelled.",[],[],[],788,1994,21914,[],[],https://twitter.com/benshapiro/status/1167452580391182337,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1167112763249852416,1166808664310611968,1567096341000,2019-08-29,09:32:21,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,And then she continues by saying “but what I refused to say is that the system is just”. Meaning that she doesn’t acknowledge she lost.   “I lost because they cheated” isn’t acknowledging you lost,"['mollyfprince', 'staceyabrams']",[],[],7,7,68,[],[],https://twitter.com/benshapiro/status/1167112763249852416,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}, {'user_id': '911254908921298944', 'username': 'mollyfprince'}, {'user_id': '216065430', 'username': 'staceyabrams'}]",
1167084994604363776,1167084776181776384,1567089720000,2019-08-29,07:42:00,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"Focusing on slavery -- and adding to our understanding of it -- is good. But let’s not pretend that our media are suddenly, independently deciding to cover slavery 154 years after it ended.",[],[],[],802,150,1343,[],[],https://twitter.com/benshapiro/status/1167084994604363776,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1166830246634520577,1166830246634520577,1567028984000,2019-08-28,14:49:44,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"Kirsten Gillibrand just dropped out. But also announced that she is not dropping out, just to ensure that she has taken every possible position on the issue.",[],[],[],219,688,8740,[],[],https://twitter.com/benshapiro/status/1166830246634520577,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164910594597593088,1164910592571789313,1566571303000,2019-08-23,07:41:43,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,Koch was pro-same sex marriage and he wasn’t pro-life. Even that isn’t enough to appease the ghouls who see any support of Republicans as a symptom of grave inhumanity.,[],[],[],1181,1421,11562,[],[],https://twitter.com/benshapiro/status/1164910594597593088,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164910592571789313,1164910592571789313,1566571302000,2019-08-23,07:41:42,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,The glee over the death of David Koch - a serious philanthropist with libertarian political views - is a perfect example of how poisonous our politics have become.,[],[],[],6501,4565,31977,[],[],https://twitter.com/benshapiro/status/1164910592571789313,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164579831092137985,1164579088436084736,1566492443000,2019-08-22,09:47:23,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"If a commentator of the right said anything similar about a wounded veteran on the Left, every single sponsor from their program would be pressured to pull money.",[],[],[],392,1073,8612,[],[],https://twitter.com/benshapiro/status/1164579831092137985,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164549819655847936,1164549818007429122,1566485287000,2019-08-22,07:48:07,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,This NYT editor with terrible old tweets shouldn’t be fired by any standard but the one the Left loves to apply.,[],[],[],136,307,2835,[],[],https://twitter.com/benshapiro/status/1164549819655847936,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164549818007429122,1164549818007429122,1566485287000,2019-08-22,07:48:07,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"The Left’s social media standard, which involves digging up people’s decade-old tweets in order to destroy them in the here and now, makes America worse. Applying that same standard from the right is only justified as an act of mutually assured destruction.",[],[],[],505,618,5006,[],[],https://twitter.com/benshapiro/status/1164549818007429122,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164190624410558464,1164190616642703361,1566399649000,2019-08-21,08:00:49,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,"9. BTW, I'm old enough to remember when Barack Obama told a black audience he would see it as a ""personal insult, an insult to my legacy"" if black Americans didn't show up to vote for Hillary in 2016. Which sounds a lot like a call for personal loyalty to a specific ethnic group.",[],[],[],735,1146,6621,[],[],https://twitter.com/benshapiro/status/1164190624410558464,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
1164190623563317248,1164190616642703361,1566399648000,2019-08-21,08:00:48,Pacific Daylight Time,17995040,benshapiro,Ben Shapiro,,8. — and blamed the Jewish state for stopping that — now suddenly rediscovering anti-Semitism as soon as Trump's name arises. You're not fighting anti-Semitism if you're not calling it out on all sides.,[],[],[],107,277,2728,[],[],https://twitter.com/benshapiro/status/1164190623563317248,False,,0,,,,,,,"[{'user_id': '17995040', 'username': 'benshapiro'}]",
