id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1157850806059712512,1157850806059712512,1564888118000,2019-08-03,20:08:38,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,madeon good faith live is THE BEST,[],[],[],107,1022,7630,[],[],https://twitter.com/porterrobinson/status/1157850806059712512,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}]",
1151866893789278210,1151866893789278210,1563461442000,2019-07-18,07:50:42,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,京都アニメーションの事件を知り、悲痛な思いと共に唖然としています。アニメを生み出す事は素晴らしい事だと信じています。そして、アニメは多くの人々を悲しみから救っていると信じています。心よりお悔やみ申し上げますと共に負傷された方のいち早いご回復をお祈りいたします。,[],[],[],89,3393,13309,[],[],https://twitter.com/porterrobinson/status/1151866893789278210,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}]",
1144637326108352513,1144471702081904642,1561737779000,2019-06-28,09:02:59,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,hahahah this is fucking incredible,['ninalasvegas'],[],[],2,8,247,[],[],https://twitter.com/porterrobinson/status/1144637326108352513,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}, {'user_id': '16345086', 'username': 'ninalasvegas'}]",
1141509947525492738,1141509947525492738,1560992154000,2019-06-19,17:55:54,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,"between donations at second sky, online donations, and $1 from each ticket, yall raised $77,000 for the Malawi Fund!!  since i’m matching that, this means that together we raised $154,000 for direct patient care for pediatric cancer in Malawi! this will help SO much - THANK YOU♥️",[],[],[],131,2503,17471,[],[],https://twitter.com/porterrobinson/status/1141509947525492738,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}]",
1141079402446389248,1140794853376385025,1560889504000,2019-06-18,13:25:04,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,"i’m fucking crying laughing. we started making potaro plushies but weren’t able to mass produce them in time for the fest, i’m gonna try to find a pic of the prototype though",['duskquil'],[],[],18,36,440,[],[],https://twitter.com/porterrobinson/status/1141079402446389248,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}, {'user_id': '858135240157519872', 'username': 'duskquil'}]",
1141065263774744576,1141064419905925120,1560886133000,2019-06-18,12:28:53,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,"i also want to thank the amazing artists who played this year!  if you had fun, blow them up with kindness   @anamanaguchi @wed_camp @ninalasvegas @KeroKeroBonito @gjonesbass @madeon @CASHMERECAT @chromesparks  DJ POTARO @Skrillex","['anamanaguchi', 'wed_camp', 'ninalasvegas', 'kerokerobonito', 'gjonesbass', 'madeon', 'cashmerecat', 'chromesparks', 'skrillex']",[],[],52,257,3766,[],[],https://twitter.com/porterrobinson/status/1141065263774744576,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}, {'user_id': '21056214', 'username': 'anamanaguchi'}, {'user_id': '851976439', 'username': 'wed_camp'}, {'user_id': '16345086', 'username': 'ninalasvegas'}, {'user_id': '426632834', 'username': 'KeroKeroBonito'}, {'user_id': '870916152', 'username': 'gjonesbass'}, {'user_id': '109973880', 'username': 'madeon'}, {'user_id': '239585441', 'username': 'CASHMERECAT'}, {'user_id': '215666918', 'username': 'chromesparks'}, {'user_id': '18825961', 'username': 'Skrillex'}]",
1141064419905925120,1141064419905925120,1560885932000,2019-06-18,12:25:32,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,"second sky people:  after meeting the audience, all of my friends, family, the artists, & staff had the same thing to say to me: that the crowd at second sky was exceptionally kind and good to them.  y’all are extraordinarily respectable and that means a ton to me, thank you!",[],[],[],106,770,9552,[],[],https://twitter.com/porterrobinson/status/1141064419905925120,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}]",
1140409862259560448,1140371094223781888,1560729873000,2019-06-16,17:04:33,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,♥️,['zoomlenslabel'],[],[],0,0,33,[],[],https://twitter.com/porterrobinson/status/1140409862259560448,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}, {'user_id': '1220249347', 'username': 'ZoomLensLabel'}]",
1139705463862284288,1139705463862284288,1560561931000,2019-06-14,18:25:31,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,"dress warm for second sky, it’s chilly and windy on site!!",[],[],[],77,314,4127,[],[],https://twitter.com/porterrobinson/status/1139705463862284288,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}]",
1139237014325174272,1139237014325174272,1560450244000,2019-06-13,11:24:04,Pacific Daylight Time,159708091,porterrobinson,porter robinson,,IM SO HYPED TO SEE ANAMANAGUCHI & MADEON & KERO KERO BONITO & CHROME SPARKS & NINA LAS VEGAS & G JONES & WEDNESDAY CAMPANELLA & CASHMERE CAT AT SECOND SKY LETS FUCKING GO BABYYYYYY,[],[],[],185,1371,10658,[],[],https://twitter.com/porterrobinson/status/1139237014325174272,False,,0,,,,,,,"[{'user_id': '159708091', 'username': 'porterrobinson'}]",
